sku_id,description,category,unit_cost,velocity_class,reorder_point,reorder_qty,last_cycle_count_date
HVAC-ELE-DISCO-00018,"Disconnect Switch, 20A",Electrical,44.98,C,14,23,2026-01-20
HVAC-REF-R454B-00019,"R-454B, 30lb tank",Refrigerant,369.88,C,16,37,2026-01-31
HVAC-ELE-EMT-00020,"EMT Conduit, 10 AWG",Electrical,12.55,A,49,75,2026-04-24
HVAC-VLV-CHECK-00021,"Check Valve, 1-1/4""",Valves,121.41,A,56,126,2026-07-22
HVAC-CTL-CAPAC-00022,"Capacitor, 45 MFD",Controls,198.18,B,18,33,2026-04-15
HVAC-CU-SOFT-00023,"Soft Copper Tubing, 1/2 in. x 50ft",Copper Tubing,91.86,B,15,26,2026-05-02
HVAC-ELE-EMT-00024,"EMT Conduit, 12 AWG",Electrical,34.3,C,15,42,2026-02-20
HVAC-MOT-CONDE-00025,"Condenser Fan Motor, 1/2 HP",Motor,230.11,B,24,68,2026-03-15
HVAC-REF-R22-00026,"R-22, 50lb jug",Refrigerant,214.7,C,2,5,2026-03-11
HVAC-REF-R410A-00027,"R-410A, 25lb cylinder",Refrigerant,295.6,B,8,14,2026-07-14
HVAC-ELE-EMT-00028,"EMT Conduit, 3/4 in.",Electrical,42.62,A,47,107,2026-07-04
HVAC-PIPE-PEX-00029,"PEX Tubing, 1""",Pipe & Fittings,84.49,C,11,32,2026-03-30
HVAC-ELE-DISCO-00030,"Disconnect Switch, 60A",Electrical,48.77,C,2,3,2026-03-02
HVAC-VLV-PRESS-00031,"Pressure Reducing Valve, 2""",Valves,53.6,C,27,50,2026-02-15
HVAC-PIPE-CPVC-00032,"CPVC Pipe, 4""",Pipe & Fittings,70.88,A,49,90,2026-07-15
HVAC-ELE-CIRCU-00033,"Circuit Breaker, 12 AWG",Electrical,114.03,A,56,137,2026-07-04
HVAC-CTL-CONTA-00034,"Contactor, 24V",Controls,45.08,C,12,18,2025-12-26
HVAC-PIPE-COPPE-00035,"Copper Fitting Elbow, 1/2""",Pipe & Fittings,59.22,C,3,4,2026-01-09
HVAC-ELE-EMT-00036,"EMT Conduit, 3/4 in.",Electrical,25.49,B,7,17,2026-04-23
HVAC-PIPE-CPVC-00037,"CPVC Pipe, 3/4""",Pipe & Fittings,30.25,B,23,39,2026-04-07
HVAC-ELE-DISCO-00038,"Disconnect Switch, 30A",Electrical,78.46,A,43,117,2026-06-19
HVAC-PIPE-CAST-00039,"Cast Iron Pipe, 1/2""",Pipe & Fittings,180.0,C,2,3,2026-01-20
HVAC-VLV-CHECK-00040,"Check Valve, 1-1/4""",Valves,31.0,B,22,56,2026-04-02
HVAC-REF-R22-00041,"R-22, 25lb cylinder",Refrigerant,464.21,C,2,3,2026-02-11
HVAC-COMP-VARIA-00042,"Variable Speed Compressor, 4 Ton 460V",Compressor,3680.09,B,22,54,2026-05-17
HVAC-MOT-ECM-00043,"ECM Motor, 3/4 HP",Motor,150.79,B,23,42,2026-04-03
HVAC-REF-R32-00044,"R-32, 50lb jug",Refrigerant,404.14,B,29,72,2026-05-20
HVAC-COMP-VARIA-00045,"Variable Speed Compressor, 5 Ton 460V",Compressor,1419.06,C,11,22,2026-03-28
HVAC-CU-ACR-00046,"ACR Copper, 1/4 in. x 50ft",Copper Tubing,107.64,C,2,5,2026-03-26
HVAC-MOT-BLOWE-00047,"Blower Motor, 1/2 HP",Motor,272.02,B,22,49,2026-03-20
HVAC-PIPE-PVC-00048,"PVC Pipe, 1""",Pipe & Fittings,50.26,C,5,9,2025-12-10
HVAC-CTL-RELAY-00049,"Relay, 40A",Controls,72.1,B,13,22,2026-04-24
HVAC-CTL-FURNA-00050,"Furnace Control Board, 40A",Controls,104.15,B,18,53,2026-04-04
HVAC-COMP-SCROL-00051,"Scroll Compressor, 4 Ton 460V",Compressor,1957.43,C,7,14,2026-03-15
HVAC-MOT-BLOWE-00052,"Blower Motor, 1/4 HP",Motor,234.08,B,16,46,2026-03-31
HVAC-ELE-CIRCU-00053,"Circuit Breaker, 10 AWG",Electrical,146.84,B,10,16,2026-04-07
HVAC-VLV-BALL-00054,"Ball Valve, 1/2""",Valves,78.23,B,20,50,2026-05-30
HVAC-PIPE-CPVC-00055,"CPVC Pipe, 4""",Pipe & Fittings,83.25,C,12,23,2026-03-30
HVAC-CU-SOFT-00056,"Soft Copper Tubing, 3/8 in. x 50ft",Copper Tubing,144.95,C,12,32,2026-02-14
HVAC-VLV-CHECK-00057,"Check Valve, 1-1/4""",Valves,117.18,C,38,102,2026-01-21
HVAC-CU-LINE-00058,"Line Set, 3/8 in. x 50ft",Copper Tubing,79.63,C,5,11,2026-02-07
HVAC-CTL-CONTA-00059,"Contactor, 70 MFD",Controls,57.51,C,6,13,2026-03-03
HVAC-ELE-DISCO-00060,"Disconnect Switch, 3/4 in.",Electrical,35.47,B,25,42,2026-06-13
HVAC-PIPE-PVC-00061,"PVC Pipe, 4""",Pipe & Fittings,36.37,C,16,29,2026-01-14
HVAC-PIPE-PEX-00062,"PEX Tubing, 2""",Pipe & Fittings,34.49,A,44,101,2026-06-03
HVAC-VLV-PRESS-00063,"Pressure Reducing Valve, 1/2""",Valves,105.65,B,14,41,2026-03-16
HVAC-ELE-EMT-00064,"EMT Conduit, 10 AWG",Electrical,31.8,B,3,6,2026-04-20
HVAC-WH-GAS-00065,"Gas Water Heater, 75 gal",Water Heaters,1708.99,B,26,45,2026-05-19
HVAC-COMP-ROTAR-00066,"Rotary Compressor, 4 Ton 460V",Compressor,3461.04,C,4,9,2026-03-21
HVAC-REF-R407C-00067,"R-407C, 12oz can",Refrigerant,595.38,C,11,26,2026-02-18
HVAC-MOT-BLOWE-00068,"Blower Motor, 1/4 HP",Motor,396.52,C,2,3,2026-03-16
HVAC-MOT-ECM-00069,"ECM Motor, 1/6 HP",Motor,560.82,A,44,72,2026-06-17
HVAC-COMP-ROTAR-00070,"Rotary Compressor, 2 Ton 208V",Compressor,1183.21,C,2,4,2026-04-01
HVAC-ELE-THHN-00071,"THHN Wire, 12 AWG",Electrical,109.53,A,40,62,2026-04-24
HVAC-ELE-EMT-00072,"EMT Conduit, 3/4 in.",Electrical,98.55,A,61,151,2026-07-23
HVAC-MOT-BLOWE-00073,"Blower Motor, 1 HP",Motor,218.92,A,50,118,2026-06-16
HVAC-VLV-BALL-00074,"Ball Valve, 2""",Valves,173.91,C,8,17,2026-02-10
HVAC-CTL-CONTA-00075,"Contactor, 120V",Controls,81.54,B,10,20,2026-04-05
HVAC-ELE-EMT-00076,"EMT Conduit, 30A",Electrical,41.44,A,52,143,2026-06-28
HVAC-CTL-RELAY-00077,"Relay, 70 MFD",Controls,63.59,B,16,40,2026-05-14
HVAC-MOT-CONDE-00078,"Condenser Fan Motor, 1/3 HP",Motor,311.7,A,57,109,2026-05-31
HVAC-COMP-SCROL-00079,"Scroll Compressor, 5 Ton 460V",Compressor,982.26,A,55,149,2026-05-24
HVAC-PIPE-CAST-00080,"Cast Iron Pipe, 3/4""",Pipe & Fittings,77.6,B,19,38,2026-04-22
HVAC-MOT-PSC-00081,"PSC Motor, 1/2 HP",Motor,179.35,C,3,7,2026-01-14
HVAC-PIPE-COPPE-00082,"Copper Fitting Elbow, 1""",Pipe & Fittings,52.16,C,18,37,2026-03-01
HVAC-ELE-CIRCU-00083,"Circuit Breaker, 60A",Electrical,32.69,C,5,14,2026-03-10
HVAC-CTL-RELAY-00084,"Relay, 45 MFD",Controls,49.32,C,8,15,2026-02-12
HVAC-COMP-SCROL-00085,"Scroll Compressor, 2 Ton 208V",Compressor,828.63,C,24,63,2026-01-24
HVAC-ELE-DISCO-00086,"Disconnect Switch, 12 AWG",Electrical,46.65,C,12,19,2026-02-11
HVAC-PIPE-CAST-00087,"Cast Iron Pipe, 1-1/2""",Pipe & Fittings,108.32,C,2,5,2026-05-03
HVAC-REF-R454B-00088,"R-454B, 50lb jug",Refrigerant,305.29,C,2,4,2026-03-11
HVAC-REF-R454B-00089,"R-454B, 50lb jug",Refrigerant,276.65,B,15,40,2026-05-08
HVAC-CU-LINE-00090,"Line Set, 5/8 in. x 50ft",Copper Tubing,62.82,B,16,43,2026-04-19
HVAC-PIPE-PEX-00091,"PEX Tubing, 2""",Pipe & Fittings,82.03,C,2,3,2026-03-21
HVAC-WH-TANKL-00092,"Tankless Water Heater, 50 gal",Water Heaters,1094.17,C,10,16,2026-01-16
HVAC-CTL-SMART-00093,"Smart Thermostat, 45 MFD",Controls,77.96,B,18,39,2026-05-05
HVAC-REF-R454B-00094,"R-454B, 30lb tank",Refrigerant,321.55,A,52,153,2026-07-04
HVAC-CTL-RELAY-00095,"Relay, 70 MFD",Controls,48.65,C,20,56,2026-04-14
HVAC-ELE-THHN-00096,"THHN Wire, 20A",Electrical,49.9,C,9,26,2026-03-01
HVAC-PIPE-CAST-00097,"Cast Iron Pipe, 1-1/2""",Pipe & Fittings,43.53,B,13,33,2026-02-16
HVAC-ELE-CIRCU-00098,"Circuit Breaker, 30A",Electrical,81.5,A,67,105,2026-07-03
HVAC-ELE-EMT-00099,"EMT Conduit, 3/4 in.",Electrical,87.21,A,51,123,2026-06-13
HVAC-REF-R22-00100,"R-22, 25lb cylinder",Refrigerant,130.61,B,13,30,2026-05-13
HVAC-VLV-CHECK-00101,"Check Valve, 3/4""",Valves,78.46,A,45,122,2026-08-06
HVAC-VLV-GATE-00102,"Gate Valve, 3/4""",Valves,29.7,A,42,121,2026-05-26
HVAC-PIPE-PVC-00103,"PVC Pipe, 3/4""",Pipe & Fittings,28.03,C,22,59,2026-03-04
HVAC-MOT-PSC-00104,"PSC Motor, 1 HP",Motor,203.45,C,2,4,2026-01-20
HVAC-VLV-PRESS-00105,"Pressure Reducing Valve, 1""",Valves,60.58,B,29,81,2026-04-29
HVAC-CU-ACR-00106,"ACR Copper, 3/8 in. x 50ft",Copper Tubing,90.95,B,20,43,2026-04-24
HVAC-CTL-SMART-00107,"Smart Thermostat, 45 MFD",Controls,108.26,C,12,30,2026-04-12
HVAC-CTL-CAPAC-00108,"Capacitor, 30A",Controls,95.5,C,2,4,2026-01-22
HVAC-ELE-DISCO-00109,"Disconnect Switch, 3/4 in.",Electrical,127.44,C,2,5,2026-02-26
HVAC-ELE-DISCO-00110,"Disconnect Switch, 20A",Electrical,40.44,A,66,112,2026-04-18
HVAC-MOT-PSC-00111,"PSC Motor, 1/2 HP",Motor,322.25,A,57,103,2026-04-26
HVAC-PIPE-PVC-00112,"PVC Pipe, 2""",Pipe & Fittings,16.32,B,28,79,2026-06-17
HVAC-CU-ACR-00113,"ACR Copper, 1/2 in. x 50ft",Copper Tubing,51.77,C,2,5,2026-02-23
HVAC-ELE-EMT-00114,"EMT Conduit, 3/4 in.",Electrical,18.44,C,21,45,2026-04-12
HVAC-ELE-CIRCU-00115,"Circuit Breaker, 3/4 in.",Electrical,60.37,B,19,37,2026-04-26
HVAC-MOT-PSC-00116,"PSC Motor, 1/6 HP",Motor,250.88,C,2,3,2026-02-09
HVAC-PIPE-PEX-00117,"PEX Tubing, 1""",Pipe & Fittings,27.88,B,12,26,2026-04-03
HVAC-PIPE-CAST-00118,"Cast Iron Pipe, 1/2""",Pipe & Fittings,24.04,C,2,3,2026-02-14
HVAC-CU-ACR-00119,"ACR Copper, 1/2 in. x 50ft",Copper Tubing,102.05,A,43,87,2026-07-23
HVAC-WH-EXPAN-00120,"Expansion Tank, 50 gal",Water Heaters,553.69,C,23,64,2026-02-28
HVAC-PIPE-CAST-00121,"Cast Iron Pipe, 3/4""",Pipe & Fittings,22.76,C,9,23,2026-02-04
HVAC-WH-EXPAN-00122,"Expansion Tank, 199k BTU",Water Heaters,648.44,B,15,36,2026-05-13
HVAC-PIPE-COPPE-00123,"Copper Fitting Elbow, 3/4""",Pipe & Fittings,9.57,B,2,5,2026-05-14
HVAC-REF-R32-00124,"R-32, 50lb jug",Refrigerant,850.0,A,54,89,2026-05-31
HVAC-MOT-BLOWE-00125,"Blower Motor, 1 HP",Motor,107.99,A,58,108,2026-04-25
HVAC-REF-R410A-00126,"R-410A, 30lb tank",Refrigerant,195.17,B,13,21,2026-06-07
HVAC-ELE-THHN-00127,"THHN Wire, 3/4 in.",Electrical,83.55,C,2,5,2026-02-23
HVAC-ELE-CIRCU-00128,"Circuit Breaker, 30A",Electrical,49.28,C,7,16,2026-01-16
HVAC-ELE-DISCO-00129,"Disconnect Switch, 3/4 in.",Electrical,130.09,C,2,3,2026-03-15
HVAC-MOT-BLOWE-00130,"Blower Motor, 1/6 HP",Motor,330.42,C,2,4,2026-04-12
HVAC-REF-R410A-00131,"R-410A, 30lb tank",Refrigerant,267.19,C,23,42,2026-03-01
HVAC-ELE-DISCO-00132,"Disconnect Switch, 10 AWG",Electrical,33.08,C,2,3,2026-03-16
HVAC-ELE-THHN-00133,"THHN Wire, 12 AWG",Electrical,72.21,C,2,5,2026-05-16
HVAC-REF-R407C-00134,"R-407C, 30lb tank",Refrigerant,200.18,C,6,10,2026-03-29
HVAC-PIPE-CAST-00135,"Cast Iron Pipe, 1-1/2""",Pipe & Fittings,38.27,C,14,32,2026-02-14
HVAC-REF-R32-00136,"R-32, 12oz can",Refrigerant,194.05,C,2,3,2026-02-13
HVAC-WH-ELECT-00137,"Electric Water Heater, 40 gal",Water Heaters,345.57,C,12,22,2026-02-21
HVAC-WH-GAS-00138,"Gas Water Heater, 50 gal",Water Heaters,978.42,C,10,17,2026-03-29
HVAC-CU-LINE-00139,"Line Set, 5/8 in. x 50ft",Copper Tubing,59.82,B,6,9,2026-02-01
HVAC-PIPE-COPPE-00140,"Copper Fitting Elbow, 4""",Pipe & Fittings,64.69,B,13,24,2026-05-07
HVAC-PIPE-CAST-00141,"Cast Iron Pipe, 3/4""",Pipe & Fittings,55.35,C,3,7,2026-01-27
HVAC-MOT-PSC-00142,"PSC Motor, 1 HP",Motor,277.21,A,30,82,2026-07-03
HVAC-ELE-THHN-00143,"THHN Wire, 30A",Electrical,49.65,A,48,85,2026-06-04
HVAC-CTL-CAPAC-00144,"Capacitor, 30A",Controls,161.85,A,50,85,2026-06-14
HVAC-COMP-VARIA-00145,"Variable Speed Compressor, 4 Ton 460V",Compressor,1770.88,C,10,17,2026-03-19
HVAC-PIPE-COPPE-00146,"Copper Fitting Elbow, 1/2""",Pipe & Fittings,40.36,C,11,22,2026-03-14
HVAC-VLV-BALL-00147,"Ball Valve, 1/2""",Valves,114.12,C,24,65,2026-03-10
HVAC-COMP-SCROL-00148,"Scroll Compressor, 2 Ton 208V",Compressor,686.2,B,3,7,2026-05-26
HVAC-MOT-PSC-00149,"PSC Motor, 1 HP",Motor,214.78,B,17,48,2026-06-12
HVAC-ELE-CIRCU-00150,"Circuit Breaker, 12 AWG",Electrical,54.35,C,14,23,2026-05-07
HVAC-VLV-PRESS-00151,"Pressure Reducing Valve, 1""",Valves,89.41,C,14,28,2026-02-25
HVAC-CTL-SMART-00152,"Smart Thermostat, 45 MFD",Controls,115.04,A,52,147,2026-06-22
HVAC-PIPE-PEX-00153,"PEX Tubing, 1-1/2""",Pipe & Fittings,43.46,C,26,51,2026-03-16
HVAC-CU-LINE-00154,"Line Set, 5/8 in. x 50ft",Copper Tubing,115.61,B,26,68,2026-05-21
HVAC-COMP-ROTAR-00155,"Rotary Compressor, 5 Ton 460V",Compressor,2013.4,A,46,125,2026-06-20
HVAC-MOT-BLOWE-00156,"Blower Motor, 1/6 HP",Motor,179.03,C,5,9,2026-03-31
HVAC-PIPE-COPPE-00157,"Copper Fitting Elbow, 1/2""",Pipe & Fittings,63.29,C,11,27,2026-02-01
HVAC-COMP-VARIA-00158,"Variable Speed Compressor, 5 Ton 460V",Compressor,959.06,A,53,93,2026-04-14
HVAC-COMP-SCROL-00159,"Scroll Compressor, 4 Ton 460V",Compressor,2020.45,C,2,4,2026-02-24
HVAC-REF-R410A-00160,"R-410A, 12oz can",Refrigerant,286.6,B,25,56,2026-04-27
HVAC-PIPE-CAST-00161,"Cast Iron Pipe, 2""",Pipe & Fittings,34.52,B,10,28,2026-05-02
HVAC-COMP-VARIA-00162,"Variable Speed Compressor, 4 Ton 460V",Compressor,1675.29,C,8,20,2026-02-08
HVAC-ELE-THHN-00163,"THHN Wire, 60A",Electrical,24.46,B,21,50,2026-04-18
HVAC-ELE-THHN-00164,"THHN Wire, 10 AWG",Electrical,26.51,C,20,59,2026-03-17
HVAC-REF-R410A-00165,"R-410A, 50lb jug",Refrigerant,322.28,C,6,12,2025-12-15
HVAC-COMP-VARIA-00166,"Variable Speed Compressor, 2.5 Ton 230V",Compressor,880.85,C,6,13,2026-03-14
HVAC-VLV-BALL-00167,"Ball Valve, 2""",Valves,92.86,B,6,12,2026-05-02
HVAC-COMP-ROTAR-00168,"Rotary Compressor, 3 Ton 230V",Compressor,1179.61,A,47,80,2026-04-20
HVAC-CU-SOFT-00169,"Soft Copper Tubing, 1/4 in. x 50ft",Copper Tubing,65.45,C,2,4,2026-03-02
HVAC-ELE-CIRCU-00170,"Circuit Breaker, 60A",Electrical,155.58,C,6,9,2026-02-09
HVAC-PIPE-PEX-00171,"PEX Tubing, 4""",Pipe & Fittings,46.79,B,29,85,2026-05-26
HVAC-PIPE-PEX-00172,"PEX Tubing, 1/2""",Pipe & Fittings,180.0,B,17,27,2026-05-29
HVAC-WH-TANKL-00173,"Tankless Water Heater, 40 gal",Water Heaters,996.09,B,20,56,2026-05-19
HVAC-ELE-THHN-00174,"THHN Wire, 12 AWG",Electrical,46.07,C,3,7,2026-03-18
HVAC-CU-ACR-00175,"ACR Copper, 1/2 in. x 50ft",Copper Tubing,46.92,A,45,97,2026-04-29
HVAC-REF-R454B-00176,"R-454B, 50lb jug",Refrigerant,218.91,A,59,164,2026-08-11
HVAC-CTL-CAPAC-00177,"Capacitor, 70 MFD",Controls,107.74,C,5,9,2026-03-06
HVAC-CTL-SMART-00178,"Smart Thermostat, 120V",Controls,139.38,C,2,3,2026-01-08
HVAC-PIPE-COPPE-00179,"Copper Fitting Elbow, 1/2""",Pipe & Fittings,21.32,C,18,45,2026-03-23
HVAC-VLV-CHECK-00180,"Check Valve, 2""",Valves,31.24,C,3,4,2026-02-15
HVAC-VLV-PRESS-00181,"Pressure Reducing Valve, 3/4""",Valves,36.3,C,13,36,2026-02-05
HVAC-ELE-DISCO-00182,"Disconnect Switch, 3/4 in.",Electrical,25.24,C,5,9,2026-01-26
HVAC-REF-R454B-00183,"R-454B, 30lb tank",Refrigerant,636.7,A,54,153,2026-07-30
HVAC-CTL-RELAY-00184,"Relay, 45 MFD",Controls,52.41,B,15,35,2026-03-25
HVAC-MOT-BLOWE-00185,"Blower Motor, 1 HP",Motor,132.73,C,2,4,2026-02-07
HVAC-ELE-THHN-00186,"THHN Wire, 3/4 in.",Electrical,53.53,B,3,7,2026-03-06
HVAC-COMP-SCROL-00187,"Scroll Compressor, 2.5 Ton 230V",Compressor,1306.24,C,7,18,2026-01-31
HVAC-CU-SOFT-00188,"Soft Copper Tubing, 3/8 in. x 50ft",Copper Tubing,130.1,C,5,12,2026-03-03
HVAC-CTL-FURNA-00189,"Furnace Control Board, 30A",Controls,61.38,C,2,5,2026-03-20
HVAC-CTL-FURNA-00190,"Furnace Control Board, 120V",Controls,57.35,B,20,30,2026-04-15
HVAC-MOT-BLOWE-00191,"Blower Motor, 3/4 HP",Motor,273.85,C,2,4,2026-04-19
HVAC-COMP-ROTAR-00192,"Rotary Compressor, 3 Ton 230V",Compressor,1496.75,C,16,38,2026-02-15
HVAC-ELE-CIRCU-00193,"Circuit Breaker, 3/4 in.",Electrical,64.6,B,27,77,2026-05-26
HVAC-CTL-RELAY-00194,"Relay, 40A",Controls,54.73,B,5,8,2026-06-03
HVAC-ELE-THHN-00195,"THHN Wire, 60A",Electrical,53.11,C,8,19,2026-03-12
HVAC-PIPE-COPPE-00196,"Copper Fitting Elbow, 1""",Pipe & Fittings,18.98,A,45,116,2026-07-22
HVAC-REF-R22-00197,"R-22, 50lb jug",Refrigerant,141.15,C,2,4,2026-02-12
HVAC-ELE-DISCO-00198,"Disconnect Switch, 30A",Electrical,28.48,B,23,35,2026-04-20
HVAC-ELE-THHN-00199,"THHN Wire, 20A",Electrical,20.16,C,13,20,2026-02-11
HVAC-ELE-DISCO-00200,"Disconnect Switch, 3/4 in.",Electrical,97.66,C,28,46,2026-03-04
HVAC-ELE-CIRCU-00201,"Circuit Breaker, 60A",Electrical,38.43,B,14,31,2026-04-20
HVAC-ELE-CIRCU-00202,"Circuit Breaker, 12 AWG",Electrical,73.29,C,2,5,2026-01-06
HVAC-CU-ACR-00203,"ACR Copper, 1/2 in. x 50ft",Copper Tubing,181.95,A,45,107,2026-07-12
HVAC-PIPE-PEX-00204,"PEX Tubing, 4""",Pipe & Fittings,31.95,C,2,3,2026-03-09
HVAC-COMP-ROTAR-00205,"Rotary Compressor, 5 Ton 460V",Compressor,1401.41,C,12,31,2026-01-29
HVAC-CTL-RELAY-00206,"Relay, 45 MFD",Controls,130.62,B,24,44,2026-03-24
HVAC-REF-R32-00207,"R-32, 12oz can",Refrigerant,246.24,C,11,32,2026-04-16
HVAC-CTL-FURNA-00208,"Furnace Control Board, 30A",Controls,92.02,A,53,152,2026-06-03
HVAC-ELE-DISCO-00209,"Disconnect Switch, 30A",Electrical,41.31,B,9,26,2026-04-12
HVAC-MOT-CONDE-00210,"Condenser Fan Motor, 3/4 HP",Motor,215.9,C,7,13,2026-02-09
HVAC-WH-ELECT-00211,"Electric Water Heater, 40 gal",Water Heaters,914.31,B,20,33,2026-06-07
HVAC-CTL-CONTA-00212,"Contactor, 24V",Controls,171.37,C,9,14,2026-03-16
HVAC-CTL-RELAY-00213,"Relay, 24V",Controls,29.14,B,12,32,2026-04-13
HVAC-ELE-DISCO-00214,"Disconnect Switch, 12 AWG",Electrical,55.43,C,16,29,2026-04-15
HVAC-ELE-EMT-00215,"EMT Conduit, 3/4 in.",Electrical,48.37,B,27,72,2026-04-04
HVAC-PIPE-PVC-00216,"PVC Pipe, 1""",Pipe & Fittings,155.47,B,15,42,2026-03-14
HVAC-VLV-CHECK-00217,"Check Valve, 1""",Valves,23.96,C,5,13,2026-04-21
HVAC-CU-SOFT-00218,"Soft Copper Tubing, 3/8 in. x 50ft",Copper Tubing,64.91,B,16,31,2026-05-04
HVAC-MOT-ECM-00219,"ECM Motor, 1/6 HP",Motor,140.12,B,12,30,2026-06-23
HVAC-ELE-THHN-00220,"THHN Wire, 30A",Electrical,45.6,B,27,65,2026-05-02
HVAC-PIPE-PEX-00221,"PEX Tubing, 1-1/2""",Pipe & Fittings,97.87,C,13,29,2026-01-25
HVAC-PIPE-PVC-00222,"PVC Pipe, 1/2""",Pipe & Fittings,22.72,B,14,37,2026-05-11
HVAC-WH-ELECT-00223,"Electric Water Heater, 75 gal",Water Heaters,677.08,C,3,8,2026-03-16
HVAC-REF-R407C-00224,"R-407C, 12oz can",Refrigerant,182.95,B,31,84,2026-05-13
HVAC-PIPE-PVC-00225,"PVC Pipe, 2""",Pipe & Fittings,21.64,A,53,122,2026-07-01
HVAC-PIPE-COPPE-00226,"Copper Fitting Elbow, 4""",Pipe & Fittings,22.86,A,62,175,2026-04-17
HVAC-ELE-EMT-00227,"EMT Conduit, 60A",Electrical,93.54,C,4,9,2026-02-13
HVAC-CU-LINE-00228,"Line Set, 1/4 in. x 50ft",Copper Tubing,64.19,B,18,46,2026-05-19
HVAC-ELE-THHN-00229,"THHN Wire, 10 AWG",Electrical,46.76,A,44,80,2026-07-05
HVAC-REF-R454B-00230,"R-454B, 12oz can",Refrigerant,250.7,B,15,33,2026-04-19
HVAC-CU-SOFT-00231,"Soft Copper Tubing, 1/2 in. x 50ft",Copper Tubing,132.48,B,29,58,2026-03-20
HVAC-PIPE-CAST-00232,"Cast Iron Pipe, 2""",Pipe & Fittings,48.9,B,25,67,2026-03-01
HVAC-VLV-PRESS-00233,"Pressure Reducing Valve, 1-1/4""",Valves,81.44,B,17,47,2026-03-29
HVAC-COMP-VARIA-00234,"Variable Speed Compressor, 2.5 Ton 230V",Compressor,2296.22,A,56,135,2026-05-25
HVAC-CU-LINE-00235,"Line Set, 1/4 in. x 50ft",Copper Tubing,142.32,C,17,47,2026-03-21
HVAC-ELE-CIRCU-00236,"Circuit Breaker, 3/4 in.",Electrical,101.4,A,48,83,2026-06-05
HVAC-COMP-SCROL-00237,"Scroll Compressor, 2.5 Ton 230V",Compressor,1608.07,C,2,4,2026-02-17
HVAC-PIPE-CPVC-00238,"CPVC Pipe, 2""",Pipe & Fittings,14.77,A,51,125,2026-06-08
HVAC-PIPE-COPPE-00239,"Copper Fitting Elbow, 1/2""",Pipe & Fittings,38.42,B,25,41,2026-03-12
HVAC-CTL-CONTA-00240,"Contactor, 70 MFD",Controls,73.9,C,9,22,2026-01-13
HVAC-PIPE-PEX-00241,"PEX Tubing, 4""",Pipe & Fittings,43.6,C,10,16,2026-02-24
HVAC-PIPE-CAST-00242,"Cast Iron Pipe, 1-1/2""",Pipe & Fittings,36.48,C,16,32,2026-04-01
HVAC-ELE-DISCO-00243,"Disconnect Switch, 10 AWG",Electrical,50.84,C,2,5,2026-03-16
HVAC-COMP-ROTAR-00244,"Rotary Compressor, 3 Ton 230V",Compressor,3067.8,C,3,7,2026-02-18
HVAC-VLV-PRESS-00245,"Pressure Reducing Valve, 2""",Valves,49.13,B,19,56,2026-06-16
HVAC-COMP-ROTAR-00246,"Rotary Compressor, 3 Ton 230V",Compressor,1640.63,C,2,5,2026-05-06
HVAC-CTL-CAPAC-00247,"Capacitor, 45 MFD",Controls,177.6,C,3,5,2026-01-27
